,AGSP,FAVG,MADE,MOCA,MUBR,MUHA,MUHI,MULE,POSP,SCWE,SISP,STIN,MISP,MINI,STRO,PACA,ZOSP,APSP,MOAR,CLSP,CLDE,SCRU,OTSP,CARI,ELSP,HEUA,LEPU,MUFL,MUSU,NEAT,PHDI,PLGR,PLRE,OTOC,ACA,ASSP,CARA,CAVE,DAVE,DICA,DISP,DPSP,HASP,LOSP,OCSE,PASP,PESP,SASP,STZO,UDSP,VASP,OTMA,ASCI,BRYO,ANSP,CISP,OTOR,Coral,Fire Coral,Zoanthids,Sponge,Octocoral,Macro,Other,TURF,CCA,Cyano,Substrate,Unknown,Dead,depth,SST,Kd490
PNorte,0.410974076,0.118860948,0,1.739001247,21.9234242,0.166776609,0.22586636,0,0,0,2.223211536,0,0.894574495,0,0,0,2.956524339,0,0.027208599,0.029574348,0.02429309,0,0.052331643,0,0,0,0,0,0,0,0,0,0,0,0.711111541,0,0,0,0,0,4.36181105,0.324516588,0,0.117122098,0,0.129633523,0,0,0.640658253,0.515272157,0,0.313642917,0,0,0,0,0.064929052,26.80811497,0.894574495,2.956524339,0.133407679,0,7.113768127,0.064929052,51.45126457,5.236451892,5.257468216,0.025193024,0.034010544,0.02429309,5.4,25.70499943,0.06565
Mverde,0.156699785,0.109713496,0,0,1.420806384,0.243503251,0.163104412,0,0,0,2.066169738,0,0.07558747,0,0,0,0.201000011,0,0.034011054,0,0.026161897,0,0.023455475,0,0,0,0,0,0,0,0,0,0,0,0.668769618,0,0,1.678393029,0,0,6.993157617,3.387146502,0.658549006,0.040013182,0,0.0513552,0,0,0.118304721,1.410324817,0,0,0,0,0,0,0.111287388,4.159997066,0.07558747,0.201000011,0.083628426,0,15.00601369,0.111287388,75.82473016,3.460158539,0.221087681,0.856509564,0,0,4.1,25.70499943,0.06565
PAB3 Par,0,0,1.332858939,0.408615849,0,0,0,0,0,0.023307872,0,0,0,0,0,0,0,0,0.433833728,0,0,0.021642934,2.987072507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260606753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878499718,0.605435666,0,0,0,1.764782659,0,0,3.44254917,0,0.260606753,3.483935384,62.28816834,13.44251062,15.02983101,0.262366054,0,0.02525,17,25.87999942,0.0521
PAB3 Top,3.082641787,0.062042995,0,1.918898891,1.660118853,1.331821678,0.148291751,0.085156969,2.205203272,0,6.534469935,0,1.182403886,0,0,4.345093262,0.489615425,0,0.025638659,0,0,0,0.110635994,0,0,0,0,0,0,0,0,0,0,0,0.130464294,0,0,0,0,0,0,0.050761713,0,0,0,0,0,0,0,0,0,0.028983239,0,0,0,0,0.241965494,17.02864613,1.182403886,4.834708686,0.136274653,0,0.210209246,0.241965494,65.5260865,7.864323117,2.434860525,0.099036526,0.048496117,0.392989119,6.9,25.87999942,0.0521
PLeste Par,0,0,1.751684066,27.16948769,0,0,0.651604508,0,0.068589392,0.186237199,0.494554423,0,0,0,0,0.084174319,0.044087931,0,0.217821277,0.030860957,0,0,0.33130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022860336,0,0,0,0,0,0,0,0,0,0,0.104180499,0,0,0,0,0.064295267,30.32215728,0,0.12826225,0.579987564,0,0.127040835,0.064295267,44.37063689,7.403621008,7.616009099,9.359934123,0.028055683,0,6.1,26.19499941,0.027
PLeste Top,0.045136793,0,0,2.689618733,1.467478858,0.747871556,0.129864989,0,0.429110398,0,3.735169798,0,0.355001633,0.047990646,0,0.631598125,0,0,0,0,0,0,0.028856731,0,0,0,0,0,0,0,0,0,0.082972944,0,0,0,0,0,0.024240388,0.293970518,41.17046705,0,0.719868419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090752406,9.244251126,0.402992279,0.631598125,0.028856731,0.082972944,42.20854638,0.090752406,35.70580303,2.043585722,0.667787047,8.869546347,0.023307872,0,2.3,26.19499941,0.027
SGomes Par,1.834436371,0,1.074409708,51.87601956,0,0.876446144,0.709227188,0.304293378,0,0.287441283,1.897261982,0,0,0,0,0.106475105,0.158453377,0,0,0,0.062963743,0,0.35065833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02380744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.85953561,0,0.264928482,0.413622073,0,0.02380744,0,36.1801375,4.257968896,0,0,0,0,8.2,26.45999941,0
SGomes Top,0.223577311,0.522395639,0,0.281581042,2.659182965,0.295658629,0.287497677,0,0.027775347,0,0.227004327,0,0.438344392,0.047621088,0,29.43324655,0.213699915,0,0.250955786,0,0,0,0.294046431,0,0,0,0,0,0,0,3.555830289,0,0,0,0.024688889,0,0.055558333,0.082222065,0,0,7.177639406,0.024688889,0.29247874,0.053335573,0,0,0,0,0,0,0,0.147381403,0.133979286,0,0,0,0.310192839,4.524672937,0.48596548,29.64694646,0.545002217,3.555830289,7.857993299,0.444172125,36.09082025,2.246322402,0.727184209,12.56184081,0.076923964,1.236325555,3.2,26.45999941,0
TIM Par,0.05158283,0,1.909632152,23.40924541,0,1.882020631,1.244094839,0,0.208194055,0,0.232629196,0,1.551732102,0,0,4.297534552,0.244036205,0,2.057833904,0,0,0.132771089,0.607748535,0,0,0,0,0,0,11.77664485,0,0,0,0,0.083332292,0,0,0.166669167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102114955,0.290880549,0,0,0.022986365,28.93739911,1.551732102,4.541570757,2.798353527,11.77664485,0.250001458,0.415981869,29.67970563,13.36852775,6.568340203,0.059773284,0.028982861,0.022986603,11.9,26.08999942,0.0513
TIM Top,0.95358287,0.204896224,0.027260185,4.515638785,2.026676785,10.12385979,0.200958244,0,0.02826972,0,0.447560395,0,1.5995929,0,0,21.52896783,4.844381699,0,0.106228606,0,0,0,0.863881978,0,0,0,0,0,0,0.737800426,0.065226707,0,0.058722616,0,0.091987988,0,0,0,0,0,0.026320266,0.201168478,0,0,0,0,0,0,0,0,0,0,0,0.095757761,0,0,0.366972636,18.528703,1.5995929,26.37334953,0.970110585,0.861749749,0.319476732,0.462730397,35.49254972,9.393651659,5.675533823,0,0.034694814,0.2878571,6,26.08999942,0.0513
