Est,Repl,DistFoz,Camp,Hem,Est1
D14,1,39.6,1,1.91,1
D14,2,39.6,1,2.56,1
D14,3,39.6,1,1.32,1
D15,1,41.9,1,1.66,2
D15,2,41.9,1,1.79,2
D15,3,41.9,1,1.33,2
D16,1,44.2,1,1.81,3
D16,2,44.2,1,1.23,3
D16,3,44.2,1,2.01,3
D17,1,48.9,1,1.38,4
D17,2,48.9,1,1.98,4
D17,3,48.9,1,0.56,4
D18,1,52.2,1,1.26,5
D18,2,52.2,1,1.13,5
D18,3,52.2,1,1.34,5
D19,1,55.4,1,1.34,6
D19,2,55.4,1,1.74,6
D19,3,55.4,1,1.42,6
D20,1,57.1,1,1.27,7
D20,2,57.1,1,0.61,7
D20,3,57.1,1,1.56,7
D21,1,60.7,1,1.05,8
D21,2,60.7,1,1.42,8
D21,3,60.7,1,1.01,8
D14,1,39.6,2,2.33,1
D14,2,39.6,2,2.37,1
D14,3,39.6,2,2.14,1
D15,1,41.9,2,1.49,2
D15,2,41.9,2,1.83,2
D15,3,41.9,2,1.57,2
D16,1,44.2,2,1.67,3
D16,2,44.2,2,1.49,3
D16,3,44.2,2,1.05,3
D17,1,48.9,2,0.87,4
D17,2,48.9,2,0.76,4
D17,3,48.9,2,1.8,4
D18,1,52.2,2,0.29,5
D18,2,52.2,2,0.45,5
D18,3,52.2,2,0.76,5
D19,1,55.4,2,0.62,6
D19,2,55.4,2,0.44,6
D19,3,55.4,2,0.41,6
D20,1,57.1,2,0.31,7
D20,2,57.1,2,0.43,7
D20,3,57.1,2,0.54,7
